"filename", "language", "JSON", "Java", "comment", "blank", "total"
"c:\Users\Aaron\Documents\GitHub\DailyBoard\boardScaleState.json", "JSON", 5, 0, 0, 0, 5
"c:\Users\Aaron\Documents\GitHub\DailyBoard\boardState.json", "JSON", 14, 0, 0, 0, 14
"c:\Users\Aaron\Documents\GitHub\DailyBoard\src\main\CalendarObject.java", "Java", 0, 110, 16, 29, 155
"c:\Users\Aaron\Documents\GitHub\DailyBoard\src\main\CanvasPanel.java", "Java", 0, 108, 13, 23, 144
"c:\Users\Aaron\Documents\GitHub\DailyBoard\src\main\GoalObject.java", "Java", 0, 263, 31, 55, 349
"c:\Users\Aaron\Documents\GitHub\DailyBoard\src\main\StickyNoteObject.java", "Java", 0, 6, 0, 2, 8
"c:\Users\Aaron\Documents\GitHub\DailyBoard\src\main\TodoObject.java", "Java", 0, 10, -2, 1, 9
"c:\Users\Aaron\Documents\GitHub\DailyBoard\src\main\customComponents\RoundedButton.java", "Java", 0, 71, 4, 15, 90
"c:\Users\Aaron\Documents\GitHub\DailyBoard\src\main\saves\BoardObjectState.java", "Java", 0, 7, 0, 0, 7
"c:\Users\Aaron\Documents\GitHub\DailyBoard\src\main\saves\BoardScaleState.java", "Java", 0, 11, 0, 9, 20
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\CalendarObject$6.class", "Java", 0, 31, 0, 0, 31
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\CanvasPanel$3.class", "Java", 0, 13, 0, 0, 13
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\CircleButton$1.class", "Java", 0, 21, 0, 0, 21
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\CircleButton.class", "Java", 0, 31, 0, 0, 31
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\EventTableRenderer.class", "Java", 0, 53, 0, 0, 53
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\GoalObject$1.class", "Java", 0, 9, 0, 0, 9
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\GoalObject$2.class", "Java", 0, 42, 0, 0, 42
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\GoalObject$3.class", "Java", 0, 13, 0, 0, 13
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\GoalObject$4.class", "Java", 0, 18, 0, 0, 18
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\GoalObject$5.class", "Java", 0, 13, 0, 0, 13
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\GoalObject$6.class", "Java", 0, 19, 0, 0, 19
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\GoalObject$7.class", "Java", 0, 28, 0, 0, 28
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\GoalObject.class", "Java", 0, 213, 0, 0, 213
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\RoundedButton$1.class", "Java", 0, 22, 0, 0, 22
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\RoundedButton.class", "Java", 0, 49, 0, 0, 49
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\StickyNoteObject$6.class", "Java", 0, 12, 0, 0, 12
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\StickyNoteObject$7.class", "Java", 0, 17, 0, 0, 17
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\StickyNoteObject$8.class", "Java", 0, 18, 0, 0, 18
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\StickyNoteObject$9.class", "Java", 0, 29, 0, 0, 29
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\TodoObject$1.class", "Java", 0, 15, 0, 0, 15
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\TodoObject$2.class", "Java", 0, 9, 0, 0, 9
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\TodoObject$3.class", "Java", 0, 42, 0, 0, 42
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\TodoObject$4.class", "Java", 0, 13, 0, 0, 13
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\TodoObject$5.class", "Java", 0, 19, 0, 0, 19
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\TodoObject$6.class", "Java", 0, 29, 0, 0, 29
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\TodoObject$7.class", "Java", 0, 11, 0, 0, 11
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\TodoObject.class", "Java", 0, 194, 0, 0, 194
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\WhiteBoardObject$1.class", "Java", 0, 23, 0, 0, 23
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\WhiteBoardObject$2.class", "Java", 0, 33, 0, 0, 33
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\WhiteBoardObject$3.class", "Java", 0, 23, 0, 0, 23
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\WhiteBoardObject.class", "Java", 0, 98, 0, 0, 98
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\main\CalendarObject.class", "Java", 0, 7, 0, 0, 7
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\main\CanvasPanel.class", "Java", 0, 4, 0, 0, 4
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\main\EventTableRenderer.class", "Java", 0, -14, 0, -1, -15
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\main\GoogleCalendarTest.class", "Java", 0, -14, 0, -1, -15
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\main\StickyNoteObject.class", "Java", 0, 4, 0, 0, 4
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\main\TodoObject.class", "Java", 0, 27, 0, 0, 27
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\main\customComponents\CircleButton.class", "Java", 0, -18, 0, -1, -19
"c:\Users\Aaron\Documents\GitHub\DailyBoard\target\classes\main\saves\BoardScaleState.class", "Java", 0, 7, 0, 0, 7
"Total", "-", 19, 1749, 62, 131, 1961